subdoc_id,date,doc_title,subdoc_title,src_site,src_url,src_parent_url,category
029-2,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(2)灯台を活用した観光振興支援及びインフラツーリズムの推進,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
029-3,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(3)一般公開・開放された公的施設を活用した訪日プロモーション,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
029-4,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(4)国民公園の魅力向上,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
030-1,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例1:観光快適度の見える化による分散(京都府京都市),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-2,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例2:観光客が多いバス路線への「前乗り後降り方式」の導入(京都府京都市),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-3,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例4:駐車場料金値上げによる財源確保及びイベントの事前予約制導入による混雑緩和(岐阜県白川村),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-4,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例5:マナー啓発動画の制作・放映(沖縄県),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-5,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例7:クルーズ客の増加による混雑への対応(福岡県福岡市),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
031-1,20210528,令和2年度食育白書　第2部　食育推進施策の具体的取組,第5章　生産者と消費者との交流の促進、環境と調和のとれた農林漁業の活性化等,MAFF,https://www.maff.go.jp/j/syokuiku/wpaper/attach/pdf/r2_index-5.pdf,https://www.maff.go.jp/j/syokuiku/wpaper/r2_index.html,白書・青書
031-2,20210528,令和2年度食育白書　第2部　食育推進施策の具体的取組,第6章　食文化の継承のための活動,MAFF,https://www.maff.go.jp/j/syokuiku/wpaper/attach/pdf/r2_index-5.pdf,https://www.maff.go.jp/j/syokuiku/wpaper/r2_index.html,白書・青書
032-1,20221018,令和4年警察白書　第2部　第6章　公安の維持と災害対策　第4節　災害等への対処と警備実施,1　自然災害等への対処,NPA,https://www.npa.go.jp/hakusyo/r04/pdf/09_dai6sho.pdf,https://www.npa.go.jp/hakusyo/r04/pdf/pdfindex.html,白書・青書
032-2,20221018,令和4年警察白書　第2部　第6章　公安の維持と災害対策　第4節　災害等への対処と警備実施,2　警備実施,NPA,https://www.npa.go.jp/hakusyo/r04/pdf/09_dai6sho.pdf,https://www.npa.go.jp/hakusyo/r04/pdf/pdfindex.html,白書・青書
033-1,20230600,令和4年度エネルギーに関する年次報告　(エネルギー白書2023)　第3部　第4章「原子力政策の展開」　第4節　対策を将来へ先送りせず、着実に進める取組,1.高レベル放射性廃棄物等の最終処分に向けた取組,METI,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/3_4.pdf,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/,白書・青書
033-2,20230600,令和4年度エネルギーに関する年次報告　(エネルギー白書2023)　第3部　第4章「原子力政策の展開」　第4節　対策を将来へ先送りせず、着実に進める取組,2.核燃料サイクル政策の推進,METI,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/3_4.pdf,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/,白書・青書
034-1,20230300,九州防衞局広報　きゅうしゅう　NO.61,2.自治体紹介(長崎県壱岐市),MOD,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/back/61/61hp.pdf,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/index.html,広報誌等
034-2,20230300,九州防衞局広報　きゅうしゅう　NO.61,4.インフォメーション,MOD,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/back/61/61hp.pdf,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/index.html,広報誌等
035,20221213,広報誌「ぼうさい」　2022　No.105　防災の動き,「防災推進国民大会2022」の開催報告　未来につなぐ災害の経験と教訓~忘れない、伝える、活かす、備える~,BOUSAI,https://www.bousai.go.jp/kohou/kouhoubousai/r04/105/pdf/2022_vol105.pdf,https://www.bousai.go.jp/kohou/kouhoubousai/r04/105/index.html,広報誌等
036-1,20230727,国土地理院広報　第661号,領土・主権展示館の企画展「日本の島と海と空を守る仕事」,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
036-2,20230727,国土地理院広報　第661号,国内初!衛星測位分野の国際事業にJAXAと共同で参画~高精度な軌道情報の提供を通じた測位基盤の強化へ~,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
036-3,20230727,国土地理院広報　第661号,「測量の日」関連行事を実施　●「第29回くらしと測量・地図展」で関東大震災時における陸地測量部の調査図等を公開,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
036-4,20230727,国土地理院広報　第661号,第239回地震予知連絡会の開催概要,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
037,20230713,財務省広報誌　「ファイナンス」令和5年7月号　特集　G7新潟財務大臣・中央銀行総裁会議,Road　to　Niigata　~ロジ面を中心に,MOF,https://www.mof.go.jp/public_relations/finance/202307/202307d.pdf,https://www.mof.go.jp/public_relations/finance/202307/index.html,広報誌等
038-1,20230718,大臣会見　斉藤大臣会見要旨,冒頭発言,MLIT,https://www.mlit.go.jp/report/interview/daijin230718.html,None,会見・会合記録
038-2,20230718,大臣会見　斉藤大臣会見要旨,質疑応答,MLIT,https://www.mlit.go.jp/report/interview/daijin230718.html,None,会見・会合記録
039-1,20230120,令和4年版犯罪白書　第2編　犯罪者の処遇　第4章　成人矯正,第1節　概説,MOJ,https://www.moj.go.jp/content/001387343.pdf,https://www.moj.go.jp/housouken/housouken03_00118.html,白書・青書
039-2,20230120,令和4年版犯罪白書　第2編　犯罪者の処遇　第4章　成人矯正,第4節　刑事施設の運営等,MOJ,https://www.moj.go.jp/content/001387343.pdf,https://www.moj.go.jp/housouken/housouken03_00118.html,白書・青書
039-3,20230120,令和4年版犯罪白書　第2編　犯罪者の処遇　第4章　成人矯正,第6節　官民協働による刑事施設等の整備・運営,MOJ,https://www.moj.go.jp/content/001387343.pdf,https://www.moj.go.jp/housouken/housouken03_00118.html,白書・青書
040,20220930,令和4年版外交青書　第3章　第1節　日本と国際社会の平和と安定に向けた取組　特集　平和安全法制施行5周年,None,MOFA,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2022/pdf/pdfs/3_1.pdf,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2022/pdf/index.html,白書・青書
041-1,20230620,令和5年版科学技術・イノベーション白書　第1部　地域から始まる科学技術・イノベーション　第3章　地域の特性や大学の強みを活かした様々な科学技術・イノベーション,第3節　山形県における鶴岡サイエンスパークの取組,MEXT,https://www.mext.go.jp/content/20230620-mxt_kouhou02-000029752_4.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpaa202301/1421221_00013.html,白書・青書
041-2,20230620,令和5年版科学技術・イノベーション白書　第1部　地域から始まる科学技術・イノベーション　第3章　地域の特性や大学の強みを活かした様々な科学技術・イノベーション,第4節　熊本県等における半導体産業強化のための大学・地域の連携,MEXT,https://www.mext.go.jp/content/20230620-mxt_kouhou02-000029752_4.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpaa202301/1421221_00013.html,白書・青書
042,20220500,6　海上交通の安全を守る,CHAPTER　II.　ふくそう海域・港内等の安全対策,MLIT,https://www.kaiho.mlit.go.jp/info/books/report2022/html/honpen/6_03_chap2.htmlhttps://www.kaiho.mlit.go.jp/info/books/report2022/html/honpen/6_05_chap4.html,None,白書・青書
043-1,20220729,令和4年版防衛白書　日本の防衛　第IV部　第6章　地域社会や環境との共生に関する取組　第1節　地域社会や環境との調和にかかる施策,6　東京2020オリンピック・パラリンピック競技大会への取組,MOD,https://www.mod.go.jp/j/press/wp/wp2022/pdf/wp2022_JP_Full_01.pdf,https://www.mod.go.jp/j/press/wp/wp2022/w2022_00.html,白書・青書
043-2,20220729,令和4年版防衛白書　日本の防衛　第IV部　第6章　地域社会や環境との共生に関する取組　第1節　地域社会や環境との調和にかかる施策,7　南極地域観測に対する支援,MOD,https://www.mod.go.jp/j/press/wp/wp2022/pdf/wp2022_JP_Full_01.pdf,https://www.mod.go.jp/j/press/wp/wp2022/w2022_00.html,白書・青書
043-3,20220729,令和4年版防衛白書　日本の防衛　第IV部　第6章　地域社会や環境との共生に関する取組　第1節　地域社会や環境との調和にかかる施策,9　その他の取組,MOD,https://www.mod.go.jp/j/press/wp/wp2022/pdf/wp2022_JP_Full_01.pdf,https://www.mod.go.jp/j/press/wp/wp2022/w2022_00.html,白書・青書
044-1,20220118,令和3年版消防白書　特集1「最近の大規模自然災害等への対応」,4　令和2年12月16日からの大雪による被害及び消防機関等の対応状況,FDMA,https://www.fdma.go.jp/publication/hakusho/r3/items/special1.pdf,https://www.fdma.go.jp/publication/hakusho/r3/63931.html,白書・青書
044-2,20220118,令和3年版消防白書　特集1「最近の大規模自然災害等への対応」,5　千葉県北西部を震源とする地震による被害及び消防機関等の対応状況,FDMA,https://www.fdma.go.jp/publication/hakusho/r3/items/special1.pdf,https://www.fdma.go.jp/publication/hakusho/r3/63931.html,白書・青書
045-1,20230600,南関東防衛局広報誌「南関防衛」　令和5年37号　,第十一次北富士演習場使用協定及び第八次入会協定の締結,MOD,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/nankan37.pdf,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/kouho-yokohama.html,広報誌等
045-2,20230600,南関東防衛局広報誌「南関防衛」　令和5年37号　,日米交流事業　in　キャンプ座間,MOD,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/nankan37.pdf,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/kouho-yokohama.html,広報誌等
045-3,20230600,南関東防衛局広報誌「南関防衛」　令和5年37号　,航空事故等連絡協議会~　令和4年度　第36回航空事故等連絡協議会年次総会の開催　~,MOD,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/nankan37.pdf,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/kouho-yokohama.html,広報誌等
045-4,20230600,南関東防衛局広報誌「南関防衛」　令和5年37号　,令和5年度新規採用者等研修,MOD,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/nankan37.pdf,https://www.mod.go.jp/rdb/s-kanto/20_Second_level/04_event/01_nankan/kouho-yokohama.html,広報誌等
046-1,20230300,近畿中部防衛局広報誌「近畿中部」　2023春,近畿中部防衛施設地方審議会の開催,MOD,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/data/kinki-chubu_082.pdf,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/index.html,広報誌等
046-2,20230300,近畿中部防衛局広報誌「近畿中部」　2023春,令和4年版防衛白書の説明,MOD,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/data/kinki-chubu_082.pdf,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/index.html,広報誌等
046-3,20230300,近畿中部防衛局広報誌「近畿中部」　2023春,部隊紹介~陸上自衛隊八尾駐屯地,MOD,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/data/kinki-chubu_082.pdf,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/index.html,広報誌等
046-4,20230300,近畿中部防衛局広報誌「近畿中部」　2023春,米陸軍経ヶ岬通信所ニュース　「経ヶ岬から、日本の絆を」,MOD,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/data/kinki-chubu_082.pdf,https://www.mod.go.jp/rdb/kinchu/public_relations/magazine/index.html,広報誌等
047,20230100,防衛省東北防衛局広報紙「東北のかなめ」　vol.59(2023.1),トピックス,MOD,https://www.mod.go.jp/rdb/tohoku/kouhou-3/kaname59.pdf,https://www.mod.go.jp/rdb/tohoku/kouhou-3/kouhou3.html,広報誌等
048-1,20230800,中部の森林　2023/No.233,森林土木分野における「新技術・新工法」の技術プレゼンテーション,MAFF,https://www.rinya.maff.go.jp/chubu/koho/koho_si/attach/pdf/index-69.pdf,https://www.rinya.maff.go.jp/chubu/koho/koho_si/index.html,広報誌等
048-2,20230800,中部の森林　2023/No.233,有害鳥獣捕獲の職場内研修を実施,MAFF,https://www.rinya.maff.go.jp/chubu/koho/koho_si/attach/pdf/index-69.pdf,https://www.rinya.maff.go.jp/chubu/koho/koho_si/index.html,広報誌等
048-3,20230800,中部の森林　2023/No.233,鳥獣保護及び狩猟に関する講習会を開催,MAFF,https://www.rinya.maff.go.jp/chubu/koho/koho_si/attach/pdf/index-69.pdf,https://www.rinya.maff.go.jp/chubu/koho/koho_si/index.html,広報誌等
049-1,20230700,広報誌「みどりの東北」　令和5年7月　vol.232　地域発NEWS,ヤマメのための森林づくり,MAFF,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/attach/pdf/index-7.pdf,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/index.html,広報誌等
049-2,20230700,広報誌「みどりの東北」　令和5年7月　vol.232　地域発NEWS,治山事業の効果について,MAFF,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/attach/pdf/index-7.pdf,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/index.html,広報誌等
049-3,20230700,広報誌「みどりの東北」　令和5年7月　vol.232　地域発NEWS,ボランティアによる国有林巡視の取組,MAFF,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/attach/pdf/index-7.pdf,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/index.html,広報誌等
049-4,20230700,広報誌「みどりの東北」　令和5年7月　vol.232　地域発NEWS,八甲田山の自然を守り楽しむために,MAFF,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/attach/pdf/index-7.pdf,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/index.html,広報誌等
049-5,20230700,広報誌「みどりの東北」　令和5年7月　vol.232　地域発NEWS,ブランド材「前森スギ」の供給開始,MAFF,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/attach/pdf/index-7.pdf,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/index.html,広報誌等
049-6,20230700,広報誌「みどりの東北」　令和5年7月　vol.232　地域発NEWS,外来種「ツヤハダゴマダラカミキリ」,MAFF,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/attach/pdf/index-7.pdf,https://www.rinya.maff.go.jp/tohoku/koho/koho_si/index.html,広報誌等
050,20230600,aff(あふ)2023年6月号　連載　旅する農業遺産,None,MAFF,https://www.maff.go.jp/j/pr/aff/2306/heritage01.html,None,広報誌等
051-1,20230300,令和4年版　回顧と展望　警備情勢を顧みて　第1章【特集】G7広島サミットの成功に向けて,G7広島サミットの概要,NPA,https://www.npa.go.jp/bureau/security/publications/syouten/293/R4syouten.pdf,https://www.npa.go.jp/publications/booklet/index.html,広報誌等
051-2,20230300,令和4年版　回顧と展望　警備情勢を顧みて　第1章【特集】G7広島サミットの成功に向けて,G7広島サミットをめぐる諸情勢,NPA,https://www.npa.go.jp/bureau/security/publications/syouten/293/R4syouten.pdf,https://www.npa.go.jp/publications/booklet/index.html,広報誌等
